HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.field1,Answer.field2,Approve,Reject

3WGZLY9VCHHQWLOG4NZ5U89AZZJ8DE,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3P4MQ7TPPY7J56MXJ5XBE46SRLSBB2,A1EGJBJBFBZJBA,Approved,Mon Dec 05 19:52:49 PST 2016,Mon Dec 05 20:13:55 PST 2016,Thu Dec 08 20:13:55 PST 2016,Mon Dec 05 20:23:00 PST 2016,,,1266,100% (41/41),0% (0/0),0% (0/0),https://i.ytimg.com/vi/FiABRCzowvE/maxresdefault.jpg,"Ellipse : Start

Rectangle : Step 1

Rhombus : Decision

Rectangle : Step 2

Ellipse : End","Start,Null,Step 1

Step 1,Null, Decision

Decision,No,Step 1

Decision,Yes,Step 2

Step 2,Null,End",,

362E9TQF2HLMXBAKFZC4DI6LFN4GI4,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,34YB12FSQZJBFEY5QGFYTV8JJXLMGG,A1EGJBJBFBZJBA,Approved,Mon Dec 05 19:08:14 PST 2016,Mon Dec 05 19:27:34 PST 2016,Thu Dec 08 19:27:34 PST 2016,Mon Dec 05 19:32:02 PST 2016,,,1160,100% (41/41),0% (0/0),0% (0/0),https://www.moresteam.com/toolbox/pics/112.gif,"Circle :Start

Rectangle : Alarm Rings

Rhombus : Ready to Get Up?

Rectangle : Hit Snooze Button

Irregular : Delay

Rectangle : Climb Out of Bed

Circle : End","Start,Null,Alarm Rings

Alarm Rings,Null,Ready to Get Up?

Ready to Get Up?,No,Hit Snooze Button

Hit Snooze Button,Null,Delay

Delay,Null,Alarm Rings

Ready to Get Up?,Yes,Climb Out of Bed

Climb Out of Bed,Null,End",,

3PEG1BH7AEMHCPSXZG52PNU1RE1BKT,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3SB5N7Y3O4ZEC0RY1BS0VY16GUN0GM,A36UM1HNONFW1P,Approved,Mon Dec 05 19:46:46 PST 2016,Mon Dec 05 19:54:28 PST 2016,Thu Dec 08 19:54:28 PST 2016,Mon Dec 05 19:55:43 PST 2016,,,462,100% (8/8),0% (0/0),0% (0/0),http://www.breezetree.com/flow-charts/advanced-flowchart.png,"Irregular: Start

Parallelogram: Data I/O

Irregular: Decision?

Cylinder: Database

Rectangle: Process Step

Irregular: Document

Irregular: Prep

Trapezium: Manual Operation

Irregular: Delay

Irregular: Sub-Process

Irregular: End","Start, Null, Data I/O

Data I/O, Null, Decision?

Decision?, Choice 2, Database

Database, Null, Document

Document, Null, Process Step

Decision?, Choice 1, Process Step

Process Step, Null, Prep

Prep, Null, Manual Operation

Manual Operation, Null, Delay

Delay, Null, Sub-Process

Sub-Process, Null, End",,

3APP19WN71964RFJDY3FGFGG6W96G0,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3B4YI393VARH3EK15D51UIQSZXRSSC,A3C2QUMRIR1KKE,Approved,Mon Dec 05 17:41:17 PST 2016,Mon Dec 05 18:09:55 PST 2016,Thu Dec 08 18:09:55 PST 2016,Mon Dec 05 18:27:26 PST 2016,,,1718,100% (19/19),0% (0/0),0% (0/0),http://ncam.wgbh.org/images/90.jpg,"Rectangle: STANDARDS

Rectangle: THEME

Rectangle: GOALS/OBJETIVES

Rectangle: PERFORMANCE ASSESSMENT (Interpersonal-Interpretive - Presentational)

Rectangle: Structures/Functions

Rectangle: Vocabulary

Rectangle: Resources

Rectangle: Instructional Strategies","STANDARDS, Null, THEME

THEME, Null, GOALS/OBJETIVES

GOALS/OBJETIVES, Null, PERFORMANCE ASSESSMENT (Interpersonal-Interpretive - Presentational)

PERFORMANCE ASSESSMENT (Interpersonal-Interpretive - Presentational), Null, Structures/Functions

PERFORMANCE ASSESSMENT (Interpersonal-Interpretive - Presentational), Null, Vocabulary

PERFORMANCE ASSESSMENT (Interpersonal-Interpretive - Presentational), Null, Resources

Structures/Functions, Null, Vocabulary

Vocabulary, Null, Resources

Structures/Functions, Null, Instructional Strategies

Vocabulary, Null, Instructional Strategies

Resources, Null, Instructional Strategies",,

3B9XR6P1WEQM15MFHV5QO8UOCP1BJU,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3TOK3KHVJUDGMO8GATQHFMKVFUFO7S,AO67HSBHKPIHX,Approved,Mon Dec 05 18:34:39 PST 2016,Mon Dec 05 18:50:48 PST 2016,Thu Dec 08 18:50:48 PST 2016,Mon Dec 05 18:52:00 PST 2016,,,969,100% (8/8),0% (0/0),0% (0/0),http://www.breezetree.com/articles/article_images/simple-flow-chart-example.png,"Enter text here...oval: start or end of a process (start terminator)



 Rectangles: instructions or actions(process)





 Diamonds: where we make a decision



Parallelograms:  if yes which show input and output( collect data)if no go to document



oval:  end of a process (end terminator)","Start Terminator, Null,  Process

Process, Null, Decision

Decision, No, Documeny

Decision, Yes, Data

Data, Null, Document

Document, Null, End Terminator",,

375VMB7D4JEJLR0TD9BW7X3O2VODIR,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3I33IC7ZWGXKYJH9UY44I0JIFXQA20,A3C2QUMRIR1KKE,Approved,Mon Dec 05 18:42:56 PST 2016,Mon Dec 05 19:02:19 PST 2016,Thu Dec 08 19:02:19 PST 2016,Mon Dec 05 19:29:34 PST 2016,,,1163,100% (19/19),0% (0/0),0% (0/0),http://www.texample.net/media/tikz/examples/PNG/simple-flow-chart.png,"Elipse: Expert

Rectangle: initialize mode

Elipse: System

Rectangle: identify candidate models

Rectangle: evaluate candidate models

Rhombus: is best candidate better?

Rectangle: update model

Rectangle: stop","Expert, Null, initialize mode

system, Null, initialize mode

system, Null, evaluate candidate models

initialize mode, Null, identify candidate models

identify candidate models, Null, evaluate candidate models

evaluate candidate models, Null, is best candidate better?

is best candidate better?, Yes, update model

update model, Null, identify candidate models

is best candidate better?, No, Stop",,

33BFF6QPI1634UI1919ZVFQKQTX3WQ,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3STRJBFXOXMKUVK8P41PD1V4KMXTKQ,A36UM1HNONFW1P,Approved,Mon Dec 05 18:51:59 PST 2016,Mon Dec 05 19:08:19 PST 2016,Thu Dec 08 19:08:19 PST 2016,Mon Dec 05 19:29:34 PST 2016,,,980,100% (8/8),0% (0/0),0% (0/0),https://wcs.smartdraw.com/flowchart/img/basic-flowchart-1.jpg?bn=1510011058,"Irregular: Order placed with credit card selected as payment method

Rectangle: Transaction started in order system

Irregular: Validate through Verified by Visa

Irregular: Credit card valid?

Irregular: Funds Available?

Rectangle: Customer must enter new payment method

Parallelogram: Customer sent receipt via e-mail

Rectangle: Transaction completed in order system

Cylinder: Customer information database

Irregular: Transaction entered in ledger

Irregular: Entries are reconciled at end of month","Order placed with credit card selected as payment method, Null, Transaction started in order system

Transaction started in order system, Null, Validate through Verified by Visa

Validate through Verified by Visa, Null, Credit card valid?

Credit card valid?, no, Customer must enter new payment method

Credit card valid?, yes, Funds Available?

Customer must enter new payment method, Null, Transaction started in order system

Funds Available?, No, Customer must enter new payment method

Funds Available?, No, Transaction completed in order system

Transaction completed in order system, Null, Transaction entered in ledger

Transaction completed in order system, Null, Customer sent receipt via e-mail

Transaction completed in order system, Null, Customer information database

Transaction entered in ledger, Null, Entries reconciled at end of month",,

3TTPFEFXCTFK4NAUX4LX1FSHLWM6HZ,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,31QTRG6Q2U8HM8GIC2TWHZ9ITYMYPM,A3C2QUMRIR1KKE,Approved,Mon Dec 05 19:18:19 PST 2016,Mon Dec 05 19:34:37 PST 2016,Thu Dec 08 19:34:37 PST 2016,Mon Dec 05 19:36:57 PST 2016,,,978,100% (19/19),0% (0/0),0% (0/0),http://philosophy.hku.hk/think/strategy/goto-school.gif,"Rounded Rectangle: Leave home

Parallelogram: Check time

Rhombus: Before 7am?

Rectangle: Take bus

Rectangle: Take subway

Rounded Rectangle: Reach school","Leave home, Null, Check time

Check time, Null, Before 7am?

Before 7am?, Yes, Take bus

Before 7am?, No, Take subway

Take bus, Null, Reach school

Take subway, Null, Reach school",,

37J05LC5AXEFG2KZVRWWJYIOFADDJ3,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3OHYZ19UGD0Y5Q6EHW21PDMLG2QAOA,A3C2QUMRIR1KKE,Approved,Mon Dec 05 19:49:21 PST 2016,Mon Dec 05 20:03:42 PST 2016,Thu Dec 08 20:03:42 PST 2016,Mon Dec 05 20:09:07 PST 2016,,,861,100% (19/19),0% (0/0),0% (0/0),http://www.conceptdraw.com/How-To-Guide/picture/example-basic-flowchart.png,"Oval: Previous consensus

Rectangle: Make an edit

Rectangle: Seek the compromise

Rhombus: Was the article edited further?

Rhombus: Do you agree with the change?

Oval: New consensus","Previous consensus, Null, Make an edit

Make an edit, Wait, Was the article edited further?

Was the article edited further?, Yes, Do you agree with the change?

Was the article edited further?, No,  New consensus

Do you agree with the change?, Agree, New consensus

Do you agree with the change?, Disagree, Seek the compromise

Seek the compromise, Implement, Make an edit",,

3HYV4299H0RVOR2G0IAP0QRVZBK8E7,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3M1CVSFP6101Q2JUW9U5EIHLV36QAW,A1EGJBJBFBZJBA,Approved,Mon Dec 05 19:27:35 PST 2016,Mon Dec 05 19:50:28 PST 2016,Thu Dec 08 19:50:28 PST 2016,Mon Dec 05 19:55:42 PST 2016,,,1373,100% (41/41),0% (0/0),0% (0/0),http://4.bp.blogspot.com/-xoZ9nwimcAI/UATXJ-rUJHI/AAAAAAAAACM/_KbxC3DrnXs/s1600/chartsssssss.PNG,"Rectangle : START

Parallelogram : READ N

Rectangle : M = 1 F = 1

Rectangle : F = F * M

Rhombus : IS M=N?

Rectangle : M=M+1

Parallelogram : PRINT F

Rectangle : END","START,Null,READ N

READ N,Null,M = 1 F = 1

M = 1 F = 1,Null,F = F * M

F = F * M,Null,IS M=N?

IS M=N?,No,M=M+1

M=M+1,Null,F = F * M

IS M=N?,Yes,PRINT F

PRINT F,Null,END",,

3ZQA3IO31BMZPIVKVB46QSY1P7K1OK,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3I2PTA7R3UP72FSG807U8WKH0FYKQ3,A2VFN2WZ2A14IN,Approved,Mon Dec 05 18:57:36 PST 2016,Mon Dec 05 19:02:12 PST 2016,Thu Dec 08 19:02:12 PST 2016,Mon Dec 05 19:29:35 PST 2016,,,276,100% (5/5),0% (0/0),0% (0/0),http://cdn.ariscommunity.com/info_site/flowchart.png,"parallelogram:gave input

diamond: take decision

square:results

oval:end","Start, Null, Input

Input, Null, Process

Process, Null, End",,

3XT3KXP24ZTK0ILE3M3I1RTWL916IS,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3GU1KF0O4JWL90N72AFC9OBH8PZPBT,A3C2QUMRIR1KKE,Approved,Mon Dec 05 17:54:47 PST 2016,Mon Dec 05 18:19:50 PST 2016,Thu Dec 08 18:19:50 PST 2016,Mon Dec 05 18:30:48 PST 2016,,,1503,100% (19/19),0% (0/0),0% (0/0),https://www.edrawsoft.com/images/examples/Process-Flowchart.png,"Circle: Start

Rectangle: Alarm Rings

Rhombus: Ready to Get Up?

Rectangle: Hit Snooze Button

Rounded Rectangle: Relay

Rectangle: Climb Out of Bed

Circle: End","Start, Null, Alarm Rings

Alarm Rings, Null, Ready to Get Up?

Ready to Get Up?, NO, Hit Snooze Button (Average 3 times)

Ready to Get Up?, YES, Climb Out of Bed 

Hit Snooze Button, Null, Relay (Set for 5 minutes)

Relay, Null, Alarm Rings

Climb Out of Bed, Null, End.",,

3RWO3EJELH4HAI7LABHLFS3RZCG1P1,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3TU5ZICBREWN7EQFZBARIRBQ5F6Q8S,A36UM1HNONFW1P,Approved,Mon Dec 05 19:27:52 PST 2016,Mon Dec 05 19:38:10 PST 2016,Thu Dec 08 19:38:10 PST 2016,Mon Dec 05 19:40:56 PST 2016,,,618,100% (8/8),0% (0/0),0% (0/0),http://www.rff.com/basic_flowchart1.png,"Irregular: Start

Irregular: Is target sector < max sector?

Rectangle: Target Sector = 0

Rectangle: Increment Sector

Irregular: Is the target head < max head?

Rectangle: Increment head

Rectangle: Target head = 0

Rectangle: Increment cylinder

Irregular: End","Start, Null, Is target sector < max sector?

Is target sector < max sector?, No, Target Sector = 0

Is target sector < max sector?, Yes, Increment Sector

Increment Sector, Null, End

Target Sector = 0, Null, Is the target head < max head?

Is the target head < max head?, Yes, Increment head

Increment head, Null, End

Is the target head < max head?, No, Target head = 0

Target head = 0, Null, Increment cylinder

Increment cylinder, Null, End",,

3ZCC2DXSD7Z892APDNKD667DA2RYYP,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,37UQDCYH6YQBC8HDB5CVAEE3BNAV7Z,A3C2QUMRIR1KKE,Approved,Mon Dec 05 18:10:53 PST 2016,Mon Dec 05 18:29:54 PST 2016,Thu Dec 08 18:29:54 PST 2016,Mon Dec 05 18:35:59 PST 2016,,,1141,100% (19/19),0% (0/0),0% (0/0),http://www.conceptdraw.com/How-To-Guide/picture/technical-flow-chart/Basic-Flowchart-template.png,"Rounded Rectangle: Start

Rectangle: Process

Rhombus: Decision

Rectangle: Process

Semi-Rounded Rectangle: Delay

Rectangle: Process

Rounded Rectangle: End","Start, Null, Process

Process, Null, Decision

Decision, No, Process

Decision, Yes, Process

Process, Null, Delay

Delay, Null, Process

Process, Null, End",,

3HXCEECSQMO8ESKU99MWKDGFGWVYZG,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3PDJHANYK6BNQ78ON6QZPZNY8XLH62,A3C2QUMRIR1KKE,Approved,Mon Dec 05 19:42:49 PST 2016,Mon Dec 05 19:54:04 PST 2016,Thu Dec 08 19:54:04 PST 2016,Mon Dec 05 19:55:42 PST 2016,,,675,100% (19/19),0% (0/0),0% (0/0),http://www.indezine.com/products/powerpoint/learn/flowcharts/images/basicflowchartmsoffice-09.gif,"Oval: Start

Rhombus: Are you happy?

Rectangle: Very good, have a great day!

Rhombus: Want to be happy?","Start, Null, Are you happy?

Are you happy?, Null, Very good, have a great day!

Very good, have a great day!, Null, Want to be happy?",,

3UXQ63NLAAHSWVAFKGH34N7GGE6BLW,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3HOSI13XH0J5Z0I1BXFN4KISXRGDDI,A3C2QUMRIR1KKE,Approved,Mon Dec 05 19:54:43 PST 2016,Mon Dec 05 20:19:09 PST 2016,Thu Dec 08 20:19:09 PST 2016,Mon Dec 05 20:23:00 PST 2016,,,1466,100% (19/19),0% (0/0),0% (0/0),http://www.rff.com/basic_flowchart_house_painting.png,"Oval: Start

Rectangle: Clean all painted surfaces

Rhombus: Flaking paint?

Rectangle: Scrape off flaking paint

Oval: Do areas need caulking?

Rectangle: Remove old caulk as need

Rectangle: Apply new caulk

Rhombus: Exposed wood?

Rectangle: Put primer on exposes wood

Rectangle: Paint house

Oval: End","Start, Null, Clean all painted surfaces

Clean all painted surfaces, Null, Flaking paint?

Flaking paint?, yes, Scrape off flaking paint

Flaking paint?, No, Do areas need caulking?

Scrape off flaking paint, Null, Do areas need caulking?

Do areas need caulking?, Yes, Remove old caulk as need

Do areas need caulking?, No, Exposed wood?

Remove old caulk as need, Null, Apply new caulk

Apply new caulk, Null, Exposed wood?

Exposed wood?, Yes, Put primer on exposes wood

Exposed wood?, No, Paint house

Put primer on exposes wood, Null, Paint house

Paint house, Null, End",,

3XAOZ9UYRZM2AU80AOWAFXT14821QS,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,34MAJL3QP5IUHCXBPX8IO72AT1M43M,A3C2QUMRIR1KKE,Approved,Mon Dec 05 17:05:15 PST 2016,Mon Dec 05 17:23:12 PST 2016,Thu Dec 08 17:23:12 PST 2016,Mon Dec 05 18:09:56 PST 2016,,,1077,100% (19/19),0% (0/0),0% (0/0),http://2.bp.blogspot.com/-GlzlJf9BJrY/TiizlKNzQ4I/AAAAAAAAAE8/3FJOURVxgiw/s1600/Capture.PNG,"Rectangle: Start

Rhombus: Toss a coin

Rectangle: Head

Rectangle: Tales

Rectangle: Mary pays for the pizza

Rectangle: Bill pays for the pizza","Start, Null, toss a coin

Toss a coin, Null, HEADS

Toss a coin, Null, TALES

HEADS, Null, Mary pays for the pizza

TALES, Null, Bill pays for the pizza",,

39TX062QX1JITUNRJ65LXY4RZV33XJ,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3X4MXAO0BHJY9G1XATFX1XOHJ8AWRD,A3C2QUMRIR1KKE,Approved,Mon Dec 05 19:10:39 PST 2016,Mon Dec 05 19:27:21 PST 2016,Thu Dec 08 19:27:21 PST 2016,Mon Dec 05 19:32:02 PST 2016,,,1002,100% (19/19),0% (0/0),0% (0/0),http://s3.amazonaws.com/f01.justanswer.com/teddypup/2010-06-14_141717_unit4.JPG,"Round Rectangle: processRequest()

Rhombus: stuAge<21

Rhombus: stuQuietRequest = ""Y""

Rhombus: stuQuietRequest = ""Y""

Rectangle: assignedHall = ""Addams""

Rectangle: assignedHall = ""Grant""

Rectangle: assignedHall = ""Lincoln""

Rectangle: assignedHall = ""Lincoln""","processRequest(), Null, stuAge<21

stuAge<21, Yes, stuQuietRequest = ""Y""

stuAge<21, No, stuQuietRequest = ""Y""

stuQuietRequest = ""Y"", Yes, assignedHall = ""Addams""

stuQuietRequest = ""Y"", No, assignedHall = ""Grant""

stuQuietRequest = ""Y"", Yes, assignedHall = ""Lincoln""

stuQuietRequest = ""Y"", No, assignedHall = ""Lincoln""",,

36GJS3V78VLISMUQXHX4PJLLS2TGJG,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,31QNSG6A5SOD1WL03C1LI0UV0PA787,A2L5S4FHK439P,Approved,Mon Dec 05 18:07:11 PST 2016,Mon Dec 05 18:13:48 PST 2016,Thu Dec 08 18:13:48 PST 2016,Mon Dec 05 18:33:30 PST 2016,,,397,100% (1/1),0% (0/0),0% (0/0),http://2.bp.blogspot.com/-Ht5QY_I3bS0/UATXKj49PcI/AAAAAAAAAZM/tRfUewgmFR8/s1600/Capture.PNG,"oval:start

Rectangle:flip the coin

Rectangle:Mary pays

Rectangle:Bill pays

oval:end","Flip the coin,Null,is the coin heads?

Is the coin heads?, Yes, Mary pays

Is the coin heads?, No,Bill pays",,

3BAKUKE49H72MVN0N3LAKN360U41RT,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:22 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:22 PST 2017,,,3483FV8BEFEJBH564LNS2VHWJEZ625,AO67HSBHKPIHX,Approved,Mon Dec 05 18:27:56 PST 2016,Mon Dec 05 18:34:34 PST 2016,Thu Dec 08 18:34:34 PST 2016,Mon Dec 05 18:49:05 PST 2016,,,398,100% (8/8),0% (0/0),0% (0/0),https://www.gliffy.com/blog/wp-content/uploads/2015/02/Screen-Shot-2015-02-10-at-9.14.03-AM.png,"Enter text here...Rectangles, which show instructions or actions.



Diamonds:must make a decision.



