test_1	End;Input Output;Process;SubProcess (hover over);Decision;F;Start;T
test_84	stuQuietRequest="Y";No;assignedHall="Addams";processRequest();assignedHall="Lincoln";assignedHall="Grant";Yes;stuAge < 21
test_85	Shop;Whether touch or not?;Finish;END;Save the log of move;No;LIST;LIST? or BAG?;Initialize the parameters;START;Cue;Update the parameters;BAG;Move? or Shop? or Cue? or Finish?;BAG_MODE;Yes;SHOP_MODE;Draw 3D models;LIST_MODE
test_86	Order a drink;Want fries with that?;No;Approach Counter;Pay;Order combo meal;Order Burger;-Ordering a Burger Improved Process;-Ordering a Burger Old Process;Yes;Order fries;Want a drink?
test_87	READ N;NO;F=F*M;Null, F=F*M;IS M=N?;START;M=M+1;END;PRINT F;YES;M=1 F=1
test_88	Print "Below Freezing";End;No;Temp < 32?;Read Temp;Start;Yes;Print "Above Freezing"
test_89	Print "Below Freezing";End;Read Temp;Temp < 32?;No;Read Temp.;Start;Yes;Print "Above Freezing"
test_90	Decision & Control;No;Stop;Start;Motion control as per tilt detected;Yes;Start Processing the signal
test_91	Any medications taken?;Check for side effects;No;Follow the normal protocoll;Life threratening?;Routine protocol;Clinical Symptoms;Straight to Urgency protocol;Major Complications?;Yes
test_92	Receive new file;B;Proof Approved?;Passes pre-flight?;Pre-press required?;Produce Layout;No;Proof Approved?No;Press press required?;Return to customer for repair;Passes Pre-flight?;Order In;No? Pre-flight file.;Produce Layout.;Yes;Pre-flight file
test_93	i=0;print I;End;No;print i;add 1 to I;Start;while i<0?;Loop;Yes;While i<0?;Add 1 to i
test_94	Why?;When?;Who?;What if?;What?;Solution;How?;Where?;Problem
test_95	Process Step3;End;Choice 1;Process Step1;Process Step2;Choice 2;Process Step4;Process Step5;Process Step6;Decision?;Start;Peocess Step3;Peocess Step5;Peocess Step4;Peocess Step6
test_96	Browse to upload;No;Edit Video;Click to upload;Smaller than 2GB in size?;Have an account already?;Click to save and upload;Start;Assign tags and description;Sign Up;Yes;z;Login
test_97	Bulb burned out?;No;Replace bulb;Plug in lamp;Lamp doesn't work;Repair lamp;Yes;Lamp plugged in?
test_98	Is the balance alright?;No;Log transaction;Check policy;Teller inquires after ID;Customer arrives;start;Check the balance;Reject;Give cash t o client;Within the purview of the policy?;Yes;Customer makes request;Valid ?
test_99	Target Market;Product;Place;Price;Promotion
test_100	Is the design based on a template?;No;Draft a design based on best practices;Select the specified design template;Incorporate the specified offer and copy;Submit for approval;Yes;Modify it with the specified offer and suitable copy;Design a Postcard
